"voc_id";"term_id";"Name";"Id"
"";1;"e-Games";"irc1002004"
"";2;"Software";"irc1002006"
"";3;"e-Commerce e-Payment e-Signature";"irc1002011"
"";4;"Knowledge Management";"irc1002015"
"";5;"Simulation";"irc1002016"
"";6;"User Interfaces Usability";"irc1002018"
"";7;"e-Health";"irc1003001"
"";8;"e-Tourism";"irc1003002"
"";9;"Applications for Transport and Logistics";"irc1003003"
"";10;"e-Government";"irc1003005"
"";11;"GIS Geographical Information Syst ";"irc1003007"
"";12;"e-Culture";"irc1004001"
"";13;"e-Learning";"irc1004002"
"";14;"e-Publishing Digital Content";"irc1004003"
"";15;"Visualisation Virtual Reality";"irc1004006"
"";16;"Broadband Technologies";"irc1005002"
"";17;"Mobile Communications";"irc1005003"
"";18;"Biology Biotechnology";"irc6002000"
"";19;"Environmental Engineering Technology";"irc10002004"
"";20;"Construction Technology";"irc2006000"
